ID, status, brand, model, year_make, plate_number, serial_number, department, registration_expiration 
9,working,تويوتا,كامري,2008,أ أ م 4096,234853800,MR.ABDULAH OFFICE,2022-06-22
74,working,تويوتا,بكب غمارتين,2010,أ ق ب 1806,537282010,Maintenance,2022-06-19
8,working,متسوبيشي,كانتر,2007,أ أ ك 4593,351353800,MR.ABDULAH OFFICE,2022-06-18
179,working,شيفورلية,كابريس,2010,ب س د 3647,271972010,MR. ABDULRAHMAN HOUSE,2022-06-18
292,working,تويوتا,كامري,2013,ح أ ط 6189,599437210,MR.ABDULAH OFFICE,2022-06-12
124,working,نيسان,بكب غمارتين,2013,أ ن ن 2895,512437210,NLS  - Hail,2022-06-12
7,working,متسوبيشي,كانتر,2007,أ أ ك 4457,435533800,MR.ABDULAH OFFICE,2022-06-10
76,working,تويوتا,فان بضاعه,2010,أ ق ب 5987,812062010,Maintenance,2022-06-10
